#timPSTamp,	constant_power_A,constant_power_C
2017-11-05 20:50:00,257.28+105.47j,257.28+105.47j
2017-11-05 21:00:00,274.4+110.4j,274.4+110.4j
2017-11-05 21:10:00,274.32+109.33j,274.32+109.33j
2017-11-05 21:20:00,274.4+108.27j,274.4+108.27j
2017-11-05 21:30:00,274.4+107.2j,274.4+107.2j
2017-11-05 21:40:00,274.32+106.13j,274.32+106.13j
2017-11-05 21:50:00,274.4+105.07j,274.4+105.07j
2017-11-05 22:00:00,274.4+104j,274.4+104j
2017-11-05 22:10:00,270.64+104.13j,270.64+104.13j
2017-11-05 22:20:00,266.88+104.27j,266.88+104.27j
2017-11-05 22:30:00,263.2+104.4j,263.2+104.4j
2017-11-05 22:40:00,259.44+104.53j,259.44+104.53j
2017-11-05 22:50:00,255.68+104.67j,255.68+104.67j
2017-11-05 23:00:00,252+104.8j,252+104.8j
2017-11-05 23:10:00,246.24+104.66j,246.24+104.66j
2017-11-05 23:20:00,240.48+104.54j,240.48+104.54j
2017-11-05 23:30:00,234.8+104.4j,234.8+104.4j
2017-11-05 23:40:00,229.04+104.26j,229.04+104.26j
2017-11-05 23:50:00,223.28+104.14j,223.28+104.14j
2017-11-06 00:00:00,217.6+104j,217.6+104j
2017-11-06 00:10:00,213.44+102.67j,213.44+102.67j
2017-11-06 00:20:00,209.28+101.33j,209.28+101.33j
2017-11-06 00:30:00,205.2+100j,205.2+100j
2017-11-06 00:40:00,201.04+98.67j,201.04+98.67j
2017-11-06 00:50:00,196.88+97.33j,196.88+97.33j
2017-11-06 01:00:00,192.8+96j,192.8+96j
2017-11-06 01:10:00,190.88+96.4j,190.88+96.4j
2017-11-06 01:20:00,189.04+96.8j,189.04+96.8j
2017-11-06 01:30:00,187.2+97.2j,187.2+97.2j
2017-11-06 01:40:00,185.28+97.6j,185.28+97.6j
2017-11-06 01:50:00,183.44+98j,183.44+98j
2017-11-06 02:00:00,181.6+98.4j,181.6+98.4j
2017-11-06 02:10:00,181.2+98j,181.2+98j
2017-11-06 02:20:00,180.8+97.6j,180.8+97.6j
2017-11-06 02:30:00,180.4+97.2j,180.4+97.2j
2017-11-06 02:40:00,180+96.8j,180+96.8j
2017-11-06 02:50:00,179.6+96.4j,179.6+96.4j
2017-11-06 03:00:00,179.2+96j,179.2+96j
2017-11-06 03:10:00,178.08+94.93j,178.08+94.93j
2017-11-06 03:20:00,177.04+93.87j,177.04+93.87j
2017-11-06 03:30:00,176+92.8j,176+92.8j
2017-11-06 03:40:00,174.88+91.73j,174.88+91.73j
2017-11-06 03:50:00,173.84+90.67j,173.84+90.67j
2017-11-06 04:00:00,172.8+89.6j,172.8+89.6j
2017-11-06 04:10:00,172.64+89.73j,172.64+89.73j
2017-11-06 04:20:00,172.48+89.87j,172.48+89.87j
2017-11-06 04:30:00,172.4+90j,172.4+90j
2017-11-06 04:40:00,172.24+90.13j,172.24+90.13j
